employee_id,name,department,salary,hire_date,performance_rating,location
E001,Sarah Johnson,Engineering,125000,2020-03-15,4.5,San Francisco
E002,Michael Chen,Marketing,95000,2019-07-22,4.2,New York
E003,Emily Rodriguez,Sales,105000,2021-01-10,4.8,Chicago
E004,David Kim,Engineering,135000,2018-11-03,4.6,San Francisco
E005,Jessica Taylor,HR,85000,2020-09-18,4.3,Boston
E006,Robert Martinez,Finance,115000,2019-04-25,4.7,New York
E007,Amanda Wilson,Engineering,118000,2021-06-12,4.4,Seattle
E008,Christopher Lee,Marketing,92000,2020-12-01,4.1,Los Angeles
E009,Maria Garcia,Sales,98000,2019-08-30,4.9,Miami
E010,James Anderson,Operations,102000,2021-03-08,4.5,Chicago
